repo	score	disk_kb	lang	stars	archived	description
rui314/chibicc	9	882	C	11715		A small C compiler
yuin/gopher-lua	9	499	Go	6941		GopherLua: VM and compiler for Lua in Go
matz/streem	9	841	C	4599		prototype of stream based programming language
lotabout/write-a-C-interpreter	9	160	C	4377		Write a simple interpreter of C. Inspired by c4 and largely based on it.
andrejbauer/plzoo	9	377	OCaml	1593		Programming Languages Zoo
rxi/fe	9	21	C	1500		A tiny, embeddable language implemented in ANSI C
esseks/monicelli	9	321	C++	1379		An esoteric programming language, come se fosse antani.
jserv/amacc	9	297	C	1060		Small C Compiler generating ELF executable Arm architecture, supporting JIT execution
albertodemichelis/squirrel	9	976	C++	1043		Official repository for the programming language Squirrel
milochristiansen/lua	9	232	Go	922		A Lua 5.3 VM and compiler written in Go.
nickmqb/muon	9	674	C	780		Modern low-level programming language
rhysd/gocaml	9	736	Go	756		:camel: Statically typed functional programming language implementation with Go and LLVM
felixangell/mac	9	37	C	749		bytecode interpreter in c (blog post)
hush-shell/hush	9	533	Rust	692		Hush is a unix shell based on the Lua programming language
fabianishere/brainfuck	9	861	C	621		Brainfuck interpreter written in C
thesephist/ink	9	840	Go	577		Ink is a minimal programming language inspired by modern JavaScript and Go, with functional style.
kanaka/wac	9	192	C	492		WebAssembly interpreter in C
ajeetdsouza/loxcraft	9	863	Rust	364		Language tooling for the Lox programming language.
wasplang/wasp	9	100	Rust	324		a web assembly programming language
adamdunkels/ubasic	9	198	C	313		The uBASIC interpreter
kgabis/ape	9	150	C	275		Ape Programming Language
fragglet/yoctolisp	9	57	C	255		Tiny Scheme-like Lisp interpreter written in a weekend
igor84/summus	9	348	C	243		Simple compiler frontend using LLVM as backend
Tablam/TablaM	9	784	Rust	227		The practical relational programing language for data-oriented applications
Paradoxis/PHP-Backdoor	9	7	C	222		Your interpreter isn’t safe anymore  —  The PHP module backdoor
rsms/hue	9	839	C++	176		A functional programming language
ozy/ToyJVM	9	63	C	165		An experimental Java Bytecode Interpreter written in C
zesterer/atto	9	77	Rust	164		An insanely simple self-hosted functional programming language
andrewpillar/req	9	266	Go	161		A simple and opinionated HTTP scripting language
php-test-helpers/php-test-helpers	9	340	C	157		An extension for the PHP Interpreter to ease testing of PHP code.
bbu/simple-interpreter	9	54	C	155		A hackable and extensible lexer, parser and interpreter for a minimalistic, imperative, C-like language.
laruence/php-lua	9	96	C	152		This extension embeds the lua interpreter and offers an OO-API to lua variables and functions.
dimkr/szl	9	870	C	149		A lightweight, embeddable scripting language
wernsey/chip8	9	397	C	128		A CHIP-8 interpreter, assembler and disassembler in C
erkyrath/glulxe	9	495	C	124		The Glulx VM reference interpreter
jwillia3/BASIC	9	125	C	124		An extensible BASIC interpreter in one header
linuxmooc/pylite	9	180	C	108		A tiny python interpreter for educational purpose
dpapavas/luaprompt	9	124	C	106		An embeddable Lua command prompt as well as a stand-alone interpreter with pretty-printing and autocompletion.
tlack/b-decoded	9	30	C	101		arthur whitney's b interpreter translated into a more traditional flavor of C
serprex/luwa	8	684	Lua	97		WIP jit lua to wasm
justinmeza/doge	8	304	C	96		The doge interpreter for the shibe esoteric programming language.
ndreynolds/flathead	8	937	C	96		A toy JavaScript interpreter written in C
mlochbaum/ILanguage	8	468	C	94		An interpreter for a J-inspired language
nanoflite/basic	8	389	C	93		:tv: A from-scratch BASIC interpreter with a focus on being easy to extend and port.
xyproto/battlestar	8	703	Go	93		:dizzy: A different take on Assembly, with the goal of creating tiny executables.
nickdesaulniers/bf_interpreter_jit_compiler	8	38	C	88		Teach myself about interpreters, JITs, and compilers using the Brainfuck language as the toy language
hausdorff/turtles	8	268	C	87		Lisp interpreter written for the Apple //e. It's called turtles because guess how slow it is.
larryhe/tiny-c-interpreter	8	212	C	85		this is a github mirror of picoC (http://code.google.com/p/picoc/)
grassel/wac-esp	8	72	C	80		Web Assembly Interpreter for ESP32 family of micro controllers running the ESP-IDF development framework, based on the g
matrix-org/rust-opa-wasm	8	643	Rust	79		Open Policy Agent WebAssembly Rust SDK
camden-smallwood/solidity-rs	8	476	Rust	78		Solidity 0.8.X AST parsing and analysis in Rust.
fy0/python_lite	8	834	C	76		[WIP] A simple, lightweight implementation of python3 language.
abhinav-upadhyay/cmonkey	8	745	C	75		C Implementation of the monkey programming language
jonpry/Pill	8	252	C++	74		Skill language interpreter
kgabis/brainfuck-c	8	8	C	68		Brainfuck interpreter in C.
kazuho/C	8	106	C	66		pseudo-interpreter of the C programming language (using GCC)
phase/o	8	485	C	61		Esoteric stack-oriented programming language for code golf
mpu/lambda	8	132	C	60		A small λ-calculus interpreter in C
0xbf00/simbple	8	194	C	59		macOS Sandbox Profile Language (SBPL) Interpreter
justinmeza/lolcode	8	206	C	58		A first attempt at a LOLCODE interpreter written in C; please use the lci project instead!
mattn/cisp	8	427	C	58		Minimal Lisp Interpreter
kristianlm/small-lisp	8	14	C	57		A very small lisp interpreter, that I may one day get working on my 8-bit AVR microcontroller.
deepakkarki/pruspeak	8	559	C	55		BotSpeak interpreter for the BeagleBone Black's PRU
hmgle/yascm	8	167	C	49		Yet Another Scheme Interpreter using flex and bison
jalalmostafa/clox	8	190	C	49		A virtual machine and a tree-walk interpreter for the Lox programming language in C89 :cyclone:
d99kris/nopeos	8	157	C	48		Simple OS kernel with BASIC interpreter for x86
apankrat/bff	8	10	C	47		Moderately-optimizing brainfuck interpreter
tavmem/buddy	8	127	C	47		early A interpreter with buddy system space management.
rwos/newsqueak	8	379	C	45		squint -  Rob Pike's Newsqueak interpreter for Unix
ajhalthor/interpreter	8	60	C	44		Interpreter for the Declaration Section of a C program
dmbaturin/hope	8	229	C	43		Hope programming language interpreter
